Year,Week,new_cases,new_deaths,icu_patients,hosp_patients,new_vaccinations,Sequence_Index,new_cases_predicted,new_cases_difference,new_deaths_predicted,new_deaths_difference,icu_patients_predicted,icu_patients_difference,hosp_patients_predicted,hosp_patients_difference
2022,38,230732,217,4936,90490,150930.15,132,195693.61169741384,35038.38830258616,1103.2431583148048,-886.2431583148048,12525.98883169416,-7589.98883169416,124102.67183601933,-33612.67183601933
2022,39,310114,217,5523,99305,141334.2,133,195170.48052142837,114943.51947857163,1103.8947554883657,-886.8947554883657,12506.679340826295,-6983.679340826295,124128.03591400366,-24823.03591400366
2022,40,385474,314,6117,113665,145438.65,134,195394.23801863016,190079.76198136984,1103.6160495739932,-789.6160495739932,12514.938537653354,-6397.938537653354,124117.18700484066,-10452.187004840656
2022,41,392073,414,6710,128864,228829.65000000002,135,199940.3675729321,192132.6324270679,1097.9535211218413,-683.9535211218413,12682.742429186985,-5972.742429186985,123896.7673666401,4967.232633359905
2022,42,348646,522,7337,140028,273404.25,136,202370.38887536505,146275.61112463495,1094.926756354141,-572.9267563541409,12772.437856074239,-5435.437856074239,123778.94749153446,16249.052508465538
2022,43,222885,495,7300,138776,245816.55000000002,137,200866.4225204201,22018.577479579893,1096.800053666554,-601.800053666554,12716.924390370958,-5416.924390370958,123851.86748113508,14924.13251886492
2022,44,153617,445,7304,133062,168039.9,138,196626.36391458017,-43009.36391458017,1102.0813489326868,-657.0813489326868,12560.417998308872,-5256.4179983088725,124057.44723258849,9004.552767411515
2022,45,151055,397,6780,126777,197518.65,139,198233.42242927453,-47178.422429274535,1100.0796429858954,-703.0796429858954,12619.73673735202,-5839.736737352019,123979.52880722359,2797.4711927764147
2022,46,221689,469,6778,125927,232289.40000000002,140,200128.97871472794,21560.021285272058,1097.7185924987004,-628.7185924987004,12689.704325719385,-5911.704325719385,123887.62253274598,2039.3774672540167
2022,47,293632,455,6951,128124,210946.05000000002,141,198965.42828095437,94666.57171904563,1099.1678775131413,-644.1678775131413,12646.756079645296,-5695.756079645296,123944.03741546698,4179.962584533016
2022,48,384070,485,7639,136508,289779.0,142,203263.07195770374,180806.92804229626,1093.814855935968,-608.8148559359679,12805.388015838365,-5166.388015838365,123735.66564492481,12772.334355075189
2022,49,429679,569,8140,149792,466126.5,143,212876.80223527877,216802.19776472123,1081.8402695151806,-512.8402695151806,13160.244016632541,-5020.244016632541,123269.54277617912,26522.45722382088
2022,50,391192,721,9397,166573,563858.4,144,218204.7378516892,172987.2621483108,1075.203945877943,-354.20394587794294,13356.905444688035,-3959.9054446880345,123011.21717702989,43561.78282297011
2022,51,299842,807,10096,175678,312422.25,145,204497.48751850103,95344.51248149897,1092.2773033538645,-285.27730335386445,12850.951991171063,-2754.951991171063,123675.81485799715,52002.185142002854
2023,52,151707,808,10300,172467,155898.75,146,195964.4790488487,-44257.479048848705,1102.905773718537,-294.9057737185369,12535.986918004122,-2235.9869180041223,124089.53879990797,48377.46120009203
2023,1,80829,775,9624,159988,246316.35,147,200893.66953210288,-120064.66953210288,1096.7661155710714,-321.7661155710714,12717.930115029356,-3093.930115029356,123850.54640649665,36137.45359350335
2023,2,43524,506,8629,143734,209341.65000000002,148,198877.96308378776,-155353.96308378776,1099.2768216515813,-593.2768216515813,12643.527618977161,-4014.527618977161,123948.27817607099,19785.72182392901
